table_schema,table_name,column_name,data_type,is_nullable,column_default,character_maximum_length,ordinal_position
public,assistant_calls,id,uuid,NO,gen_random_uuid(),null,1
public,assistant_calls,session_id,uuid,YES,null,null,2
public,assistant_calls,step_id,uuid,YES,null,null,3
public,assistant_calls,assistant_type,character varying,NO,null,50,4
public,assistant_calls,assistant_model,character varying,YES,null,100,5
public,assistant_calls,call_type,character varying,NO,null,50,6
public,assistant_calls,input_data,jsonb,NO,null,null,7
public,assistant_calls,output_data,jsonb,YES,null,null,8
public,assistant_calls,prompt_text,text,YES,null,null,9
public,assistant_calls,response_text,text,YES,null,null,10
public,assistant_calls,tokens_used,integer,YES,null,null,11
public,assistant_calls,cost_cents,integer,YES,null,null,12
public,assistant_calls,duration_ms,integer,YES,null,null,13
public,assistant_calls,status,character varying,YES,'pending'::character varying,50,14
public,assistant_calls,error_message,text,YES,null,null,15
public,assistant_calls,created_at,timestamp with time zone,YES,now(),null,16
public,elevenlabs_voices,voice_id,character varying,NO,null,255,1
public,elevenlabs_voices,name,character varying,NO,null,255,2
public,elevenlabs_voices,description,text,YES,null,null,3
public,elevenlabs_voices,category,character varying,YES,null,100,4
public,elevenlabs_voices,labels,jsonb,YES,'[]'::jsonb,null,5
public,elevenlabs_voices,preview_url,text,YES,null,null,6
public,elevenlabs_voices,preview_audio_data,bytea,YES,null,null,7
public,elevenlabs_voices,gender,character varying,YES,null,20,8
public,elevenlabs_voices,age,character varying,YES,null,50,9
public,elevenlabs_voices,accent,character varying,YES,null,100,10
public,elevenlabs_voices,use_case,character varying,YES,null,100,11
public,elevenlabs_voices,is_active,boolean,YES,TRUE,null,12
public,elevenlabs_voices,created_at,timestamp with time zone,YES,now(),null,13
public,elevenlabs_voices,updated_at,timestamp with time zone,YES,now(),null,14
public,facebook_accounts,id,uuid,NO,gen_random_uuid(),null,1
public,facebook_accounts,user_id,uuid,NO,null,null,2
public,facebook_accounts,facebook_user_id,character varying,NO,null,50,3
public,facebook_accounts,facebook_user_name,character varying,NO,null,255,4
public,facebook_accounts,access_token,text,NO,null,null,5
public,facebook_accounts,token_expires_at,timestamp with time zone,YES,null,null,6
public,facebook_accounts,account_name,character varying,YES,null,255,7
public,facebook_accounts,status,character varying,YES,'active'::character varying,20,8
public,facebook_accounts,sync_frequency,character varying,YES,'every_4_hours'::character varying,20,9
public,facebook_accounts,sync_enabled,boolean,YES,TRUE,null,10
public,facebook_accounts,selected_ad_accounts,jsonb,YES,'[]'::jsonb,null,11
public,facebook_accounts,last_sync,timestamp with time zone,YES,null,null,12
public,facebook_accounts,last_error,text,YES,null,null,13
public,facebook_accounts,created_at,timestamp with time zone,YES,now(),null,14
public,facebook_accounts,updated_at,timestamp with time zone,YES,now(),null,15
public,facebook_ad_accounts,id,uuid,NO,gen_random_uuid(),null,1
public,facebook_ad_accounts,facebook_account_id,uuid,NO,null,null,2
public,facebook_ad_accounts,ad_account_id,character varying,NO,null,50,3
public,facebook_ad_accounts,account_name,character varying,NO,null,255,4
public,facebook_ad_accounts,currency,character varying,NO,null,10,5
public,facebook_ad_accounts,timezone_name,character varying,NO,null,100,6
public,facebook_ad_accounts,account_status,integer,YES,1,null,7
public,facebook_ad_accounts,is_selected,boolean,YES,FALSE,null,8
public,facebook_ad_accounts,created_at,timestamp with time zone,YES,now(),null,9
public,facebook_ad_accounts,updated_at,timestamp with time zone,YES,now(),null,10
